Category;Category.Id;Category.ParentId;Category.Name;Category.Link;Category.PictureLink;Category.BaseLink;Category.FileName
WebScraper.Category;248;12;"other kits";"";"";https://audio-database.com/LUXMAN/kit;""
WebScraper.Category;249;12;"measuring instrument series";"";"";https://audio-database.com/LUXMAN/kit;""
WebScraper.Category;250;2;"vacuum unit";"";"";https://audio-database.com/LUXMAN/etc;""
WebScraper.Category;251;2;"passive attenuator";"";"";https://audio-database.com/LUXMAN/etc;""
WebScraper.Category;252;2;"tone control amplifier";"";"";https://audio-database.com/LUXMAN/etc;""
WebScraper.Category;253;2;"surround processor/av surround controller";"";"";https://audio-database.com/LUXMAN/etc;""
WebScraper.Category;254;2;"peak indicators";"";"";https://audio-database.com/LUXMAN/etc;""
WebScraper.Category;255;8;"tuner pre amplifier";"";"";https://audio-database.com/MARANTZ/amp;""
WebScraper.Category;256;7;"cd/cd recorder";"";"";https://audio-database.com/MARANTZ/player;""
WebScraper.Category;257;7;"videocd player";"";"";https://audio-database.com/MARANTZ/player;""
WebScraper.Category;258;7;"cd/ld player";"";"";https://audio-database.com/MARANTZ/player;""
WebScraper.Category;259;7;"cd/md deck";"";"";https://audio-database.com/MARANTZ/player;""
WebScraper.Category;260;7;"cd/cassette deck";"";"";https://audio-database.com/MARANTZ/player;""
WebScraper.Category;261;7;"dcc deck";"";"";https://audio-database.com/MARANTZ/player;""
WebScraper.Category;262;6;"bs/tv/fm/am tuner";"";"";https://audio-database.com/MARANTZ/tuner;""
WebScraper.Category;263;2;"audio computer";"";"";https://audio-database.com/MARANTZ/etc;""
WebScraper.Category;264;2;"line transformer";"";"";https://audio-database.com/MARANTZ/etc;""
WebScraper.Category;265;2;"mc step-up transformer";"";"";https://audio-database.com/MARANTZ/etc;""
WebScraper.Category;266;2;"btl adapter";"";"";https://audio-database.com/MARANTZ/etc;""
WebScraper.Category;267;2;"ac-3 processor";"";"";https://audio-database.com/MARANTZ/etc;""
WebScraper.Category;268;2;"surround processor/sound field controller";"";"";https://audio-database.com/MARANTZ/etc;""
WebScraper.Category;269;2;selector;"";"";https://audio-database.com/MARANTZ/etc;""
WebScraper.Category;270;2;"power supply";"";"";https://audio-database.com/MARANTZ/etc;""
WebScraper.Category;271;2;"surround headphone";"";"";https://audio-database.com/MARANTZ/etc;""
WebScraper.Category;272;2;"wireless remote controller";"";"";https://audio-database.com/MARANTZ/etc;""
WebScraper.Category;273;2;"audio rack";"";"";https://audio-database.com/MARANTZ/etc;""
